Electricity demand Colombia 2013 [MW],Electricity demand Colombia 2015 [MW],Electricity demand Colombia 2014 [MW],Electricity demand Colombia 2016 [MW],Electricity demand Colombia 2012 [MW],Daily natural water inflows time series 2010 [GW],Daily natural water inflows time series 2009 [GW],Daily natural water inflows time series 2014 [GW],Daily natural water inflows time series 2012 [GW],Daily natural water inflows time series 2016 [GW],Daily natural water inflows time series 2007 [GW],Table 1, Installed capacity in Colombia 2006-2016,Daily natural water inflows time series 2011 [GW],Daily natural water inflows time series 2006 [GW],Daily natural water inflows time series 2015 [GW],Hourly average hydropower generation ENSO-NINO [MW],Hourly hydropower generation 2014 [MW],Daily natural water inflows time series 2013 [GW],Daily natural water inflows time series 2008 [GW],Hourly average hydropower generation ENSO-NINA [MW],3, Wind_generation_Colombia2014 - Installed cap, 19,5 MW,6, Wind_generation_ENSO-NINO,5, Solar_generation_ENSO- NINA,2, Estimated Wind generation - Installed cap, 658 MW,1, Estimated Solar PV generation - Installed cap, 520 MW,4, Solar_generation_ENSO-NINO,7, Wind_generation_ENSO-NINA,ExportsTotal 2012 MW,ExportsTotal 2016 MW,ImportsTotal 2015 MW,ExportsTotal 2014 MW,ImportsTotal 2013 MW,ExportsTotal 2013 MW,ImportsTotal 2012 MW,ImportsTotal 2016 MW,ExportsTotal 2015 MW,ImportsTotal 2014 MW
8312.0,8217.84,8350.90426,7930.67,8596.0,31.61,115.84,79.03,82.56,48.22,38.84,,,116.87,56.0,199.33,4029.991,5840.53637,78.07,99.64,6541.055105,5.17442,,,,249.23,,0.0,,452.43,,,0.0,,,0.0,,183.59,,224.73,0.65,0.0,181.58,0.0,131.08,0.0,0.0,1.78,0.0
8020.0,7972.7,8057.2464,7728.59,8138.0,44.19,108.1,73.05,89.46,52.68,40.47,,,118.17,53.01,116.83,3795.235,5542.32308,94.16,85.73,6312.13853,6.13563,,,,191.93,,0.0,,462.5,,,0.0,,,0.0,,135.68,,190.9,0.12,0.0,181.15,0.0,127.57,0.0,0.87,1.61,0.0
7412.0,7536.92,7646.6991,7372.35,7288.0,36.82,109.87,61.66,83.98,47.82,45.38,,,98.32,51.49,98.26,3395.505,5218.81545,76.51,81.26,5673.37322,6.84762,,,,110.88,,0.0,,471.52,,,0.0,,,0.0,,79.0,,59.83,1.43,0.38,279.48,0.28,118.61,0.0,0.0,0.12,0.0
6663.0,6940.87,7030.33942,6890.83,6468.0,42.13,110.25,65.81,74.17,43.78,52.72,,,117.28,45.49,83.85,2849.932,4708.96781,65.21,107.8,4919.11823,5.46549,,,,110.41,,0.0,,433.18,,,0.0,,,0.0,,79.5,,4.34,1.13,0.0,319.88,0.16,94.53,0.0,0.0,0.86,0.0
5919.0,6378.8,6427.23481,6393.13,5694.0,34.23,93.01,62.51,73.04,79.7,46.49,,,134.39,51.24,76.66,2215.202,4377.46661,86.17,96.72,4320.358245,4.78401,,,,107.51,,0.0,,388.47,,,0.0,,,0.0,,76.42,,0.15,0.15,0.42,321.68,0.0,0.09,0.73,0.21,0.09,0.0
5496.0,5931.43,5966.08537,6037.24,5165.0,36.77,96.29,78.33,72.23,52.53,41.85,,,119.91,51.36,67.3,1871.362,4101.69542,75.89,101.96,4017.645455,5.24705,,,,115.47,,0.0,,337.49,,,0.0,,,0.0,,63.69,,0.72,0.75,0.0,295.81,0.84,0.09,0.0,0.0,1.02,0.0
5271.0,5598.25,5626.16117,5753.02,4944.0,32.69,115.41,91.09,64.43,45.67,47.96,,,113.91,50.75,69.83,1646.506,4004.8285,70.28,129.61,3826.395055,6.4402,,,,110.65,,0.0,,335.5,,,0.0,,,0.0,,62.55,,0.15,0.12,0.0,216.38,0.25,0.09,0.33,0.1,0.84,0.0
5140.0,5457.97,5446.91873,5596.76,4848.0,46.93,103.9,88.93,65.42,57.04,44.71,,,95.28,50.54,65.34,1484.684,3826.22993,73.48,145.05,3766.431095,5.48122,,,,108.08,,0.0,,333.32,,,0.0,,,0.0,,72.09,,0.95,0.7,0.0,175.2,0.0,0.46,0.0,0.0,0.45,0.0
5086.0,5425.35,5353.64795,5472.32,4832.0,40.74,85.19,124.91,62.98,98.81,40.63,,,84.01,50.17,74.87,1343.396,3735.11076,72.14,154.68,3729.60386,1.67552,,,,157.52,,0.0,,331.15,,,0.0,,,0.0,,61.97,,0.68,1.23,0.0,151.03,0.0,0.43,0.0,0.0,1.64,0.0
5175.0,5457.17,5434.03814,5391.0,4987.0,40.71,77.43,101.19,61.53,65.48,39.08,,,83.5,49.69,59.73,1263.372,3812.46957,97.84,138.14,3866.85619,2.16202,,,,134.2,,0.0,,309.32,,,0.0,,,0.0,,56.57,,0.98,1.11,0.0,150.56,0.19,0.09,0.0,0.0,0.7,0.0
